Station ID,Geogr1,Geogr2,Name,Year,Month,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
22050KDA,-0.25,6.0833,Koforidua,2016,01,15:00,46,25,26,29,37,25,23,23,44,46,48,42,44,43,52,40,48,52,55,52,52,35,26,38,26,37,26,26,28,30,29
22050KDA,-0.25,6.0833,Koforidua,2017,01,15:00,47,49,49,37,54,41,56,50,52,56,53,63,55,42,41,50,48,60,57,61,58,62,62,55,41,49,40,57,55,56,62
22050KDA,-0.25,6.0833,Koforidua,2018,01,15:00,28,35,32,32,32,52,52,56,50,51,51,36,33,49,53,55,54,34,54,44,48,46,48,48,49,35,29,48,50,43,46
22050KDA,-0.25,6.0833,Koforidua,2019,01,15:00,25,28,41,44,26,40,54,30,43,47,44,37,42,47,45,50,50,55,52,89,41,41,48,51,51,47,51,51,58,58,59
22050KDA,-0.25,6.0833,Koforidua,2020,01,15:00,33,37,28,29,32,34,36,37,39,47,55,46,64,73,33,27,36,49,45,45,27,36,30,50,25,27,30,42,27,33,33
22050KDA,-0.25,6.0833,Koforidua,2021,01,15:00,56,62,59,59,61,64,64,59,53,62,53,56,56,56,56,55,58,60,60,56,52,58,47,41,51,46,56,55,56,63,58
22050KDA,-0.25,6.0833,Koforidua,2022,01,15:00,54,46,48,50,50,44,48,40,31,33,50,50,52,56,30,26,41,51,28,28,26,27,26,27,25,20,40,49,33,30,23
22050KDA,-0.25,6.0833,Koforidua,2023,01,15:00,34,30,31,38,39,50,41,40,41,36,34,30,41,37,43,41,37,47,47,47,49,54,60,54,53,56,62,65,67,27,52
22050KDA,-0.25,6.0833,Koforidua,2024,01,15:00,45,39,45,63,48,60,58,52,58,53,47,38,37,43,44,35,36,40,34,34,34,36,41,41,54,28,26,28,27,36,38
22050KDA,-0.25,6.0833,Koforidua,2021,01,15:00,56,62,59,59,61,64,64,59,53,62,53,56,56,56,56,55,58,60,60,56,52,58,47,41,51,46,56,55,56,63,58
22050KDA,-0.25,6.0833,Koforidua,2022,01,15:00,54,46,48,50,50,44,48,40,31,33,50,50,52,56,30,26,41,51,28,28,26,27,26,27,25,20,40,49,33,30,23
22050KDA,-0.25,6.0833,Koforidua,2023,01,15:00,34,30,31,38,39,50,41,40,41,36,34,30,41,37,43,41,37,47,47,47,49,54,60,54,53,56,62,65,67,27,52
22050KDA,-0.25,6.0833,Koforidua,2024,01,15:00,45,39,45,63,48,60,58,52,58,53,47,38,37,43,44,35,36,40,34,34,34,36,41,41,54,28,26,28,27,36,38
